municipality_concept_id,municipality,region_concept_id,region,country_concept_id,country,headline,brief,occupation_group.label,occupation_field.label,employer.name,publication_date
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,Machine Learning Engineer,We are looking for Machine Learning Engineer for a global company in Stockholm with hybrid (50% remote) working conditions. Requirements:1.,,Unknown,,2024-11-21
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,Senior Back-end Software Developer,"At Arkus AI, a pioneering startup based in Stockholm, we are at the forefront of harnessing artificial intelligence to revolutionize precision medicine. Our mission is to save lives and empower healthcare advancements by developing cutting-edge AI solutions to improve diagnosis, treatment, and patient outcomes.",,Unknown,,2024-11-18
