municipality_concept_id,municipality,region_concept_id,region,country_concept_id,country,id,headline,brief,occupation_group.label,occupation_field.label,employer.name,publication_date
muSY_tsR_vDZ,Lund,CaRE_1nn_cSU,Skåne län,i46j_HmG_v64,Sverige,bb8e6e50426521122fd53a0673efcda8,Electromobility specialists with innovation mindset,Who we are looking forALTEN Electromobility innovation team focus on front line development and the global transition to electrification of transportation. You should be genuinely interest in technology and green transportational solutions!,Övriga civilingenjörsyrken,Yrken med teknisk inriktning,Alten,2024-11-24T01:09:44
kicB_LgH_2Dk,Skellefteå,g5Tt_CAV_zBd,Västerbottens län,i46j_HmG_v64,Sverige,bb8e6e50426521122fd53a0673efcda8,Electromobility specialists with innovation mindset,Who we are looking forALTEN Electromobility innovation team focus on front line development and the global transition to electrification of transportation. You should be genuinely interest in technology and green transportational solutions!,Övriga civilingenjörsyrken,Yrken med teknisk inriktning,Alten,2024-11-24T01:09:44
muSY_tsR_vDZ,Lund,CaRE_1nn_cSU,Skåne län,i46j_HmG_v64,Sverige,8ac24546d53a74d89c6c73758cde1f4b,Engineers within Electromobility,Are you ready to take the next step in your career? ALTEN is looking for engineers with automotive battery experience!,Civilingenjörsyrken inom elektroteknik,Yrken med teknisk inriktning,Alten,2024-11-24T01:09:44
kicB_LgH_2Dk,Skellefteå,g5Tt_CAV_zBd,Västerbottens län,i46j_HmG_v64,Sverige,8ac24546d53a74d89c6c73758cde1f4b,Engineers within Electromobility,Are you ready to take the next step in your career? ALTEN is looking for engineers with automotive battery experience!,Civilingenjörsyrken inom elektroteknik,Yrken med teknisk inriktning,Alten,2024-11-24T01:09:44
kUQB_KdK_kAh,Halmstad,wjee_qH2_yb6,Hallands län,i46j_HmG_v64,Sverige,226df8ac81f3a617f2d3c63081a8f532,AdatoCare söker sjuksköterskor  ,Är du intresserad av nytt jobb uppdrag? I skrivande stund söker vi dig som är sjuksköterska för uppdrag i Halmstad o Varberg har uppdrag inom bla stroke/Medicin/kir/ort/HIAOm uppdraget:Tjänsten är på visstidPeriod: Från dec-febKvalifikationer:Vi söker dig som är sjuksköterska och har erfarenhet.,Grundutbildade sjuksköterskor,Hälso- och sjukvård,AdatoCare AB,2024-11-24T00:00:00
AkUx_yAq_kGr,Varberg,wjee_qH2_yb6,Hallands län,i46j_HmG_v64,Sverige,226df8ac81f3a617f2d3c63081a8f532,AdatoCare söker sjuksköterskor  ,Är du intresserad av nytt jobb uppdrag? I skrivande stund söker vi dig som är sjuksköterska för uppdrag i Halmstad o Varberg har uppdrag inom bla stroke/Medicin/kir/ort/HIAOm uppdraget:Tjänsten är på visstidPeriod: Från dec-febKvalifikationer:Vi söker dig som är sjuksköterska och har erfarenhet.,Grundutbildade sjuksköterskor,Hälso- och sjukvård,AdatoCare AB,2024-11-24T00:00:00
,,,,i46j_HmG_v64,Sverige,cc4ab8abb9442d5cb222d60f1e37dfdc,Bli en del av vårt team!,"Jobbify är en jobbplattform för vassa kandidater. För kunds räkning har vi publicerat denna annons, vill du komma i kontakt med den slutgiltiga arbetsgivaren kan du klicka dig vidare till annonsen:Välkommen till en värderingsstyrd organisationAttendo Björkåsgatan, LSS i Mölndal är en verksamhet som funnits i tre år.","Vårdare, boendestödjare",Yrken med social inriktning,Meet a Group international AB,2024-11-24T00:00:00
qk8Y_2b6_82D,Gävle,zupA_8Nt_xcD,Gävleborgs län,i46j_HmG_v64,Sverige,f03d25c4ffc088ecd234b590d0ebc328,Circle K Gävle Hagaström söker flexibla butikssäljare för extra vid,"Vart är du på väg?Nu söker vi butikssäljare – ja, alltså riktiga servicehjältar!Vi vill bli världsbäst på service. Och därför söker vi nu fler servicehjältar.",Bensinstationspersonal,"Försäljning, inköp, marknadsföring",Circle K Sverige AB,2024-11-24T00:00:00
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,9b3790190c8fe237c1e44ac25f7f2fbd,Circle K Sköndal Nynäsvägen söker butikssäljare på 39%,"Vart är du på väg?Nu söker vi butikssäljare – ja, alltså riktiga servicehjältar!Vi vill bli världsbäst på service. Och därför söker vi nu fler servicehjältar.",Bensinstationspersonal,"Försäljning, inköp, marknadsföring",Circle K Sverige AB,2024-11-24T00:00:00
