municipality_concept_id,municipality,region_concept_id,region,country_concept_id,country,headline,brief,occupation_group.label,occupation_field.label,employer.name,publication_date
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,"Museivärd till Vrak – Museum of Wrecks, Stockholm","Utmärkelsen ”Sveriges modernaste myndighet 2023” vann Statens maritima och transporthistoriska museer (SMTM). Myndigheten driver och utvecklar Marinmuseum, Sjöhistoriska museet, Vasamuseet, Vrak-Museum of Wrecks samt Järnvägsmuseet.",,Unknown,,2024-11-19
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,"Museivärdar behovsanställning till Vrak – Museum of Wrecks, Stockholm","Utmärkelsen ”Sveriges modernaste myndighet 2023” vann Statens maritima och transporthistoriska museer (SMTM). Myndigheten driver och utvecklar Marinmuseum, Sjöhistoriska museet, Vasamuseet, Vrak-Museum of Wrecks samt Järnvägsmuseet.",,Unknown,,2024-11-19
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,"Vikariat som Museivärd till Vrak – Museum of Wrecks, Stockholm","Utmärkelsen ”Sveriges modernaste myndighet 2023” vann Statens maritima och transporthistoriska museer (SMTM). Myndigheten driver och utvecklar Marinmuseum, Sjöhistoriska museet, Vasamuseet, Vrak-Museum of Wrecks samt Järnvägsmuseet.",,Unknown,,2024-11-19
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,"Museivärd, vikariat 80%","Vill du arbeta på en myndighet som har världen som sitt arbetsfält? Statens museer för världskultur består av Etnografiska museet, Östasiatiska museet och Medelhavsmuseet i Stockholm samt Världskulturmuseet i Göteborg.",,Unknown,,2024-11-19
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,"Museivärd, vikariat 80%","Om arbetsplatsenVill du arbeta på en myndighet som har världen som sitt arbetsfält? Statens museer för världskultur består av Etnografiska museet, Östasiatiska museet och Medelhavsmuseet i Stockholm samt Världskulturmuseet i Göteborg.",,Unknown,,2024-11-19
mc45_ki9_Bv3,Mölndal,zdoY_6u5_Krt,Västra Götalands län,i46j_HmG_v64,Sverige,Museichef för Mölndals stadsmuseum,"Om arbetsplatsenI Mölndals stad är vi stolta över att ha Sveriges viktigaste jobb där vi tillsammans skapar bästa möjliga vardag för våra medborgare. Med kunskap, mod och kreativitet utvecklar vi våra verksamheter och bidrar till att Mölndal blir en ännu bättre plats att leva och jobba i.",,Unknown,,2024-11-05
